"window_start","k_mgl","mg_mgl","ca_mgl","no3n_mgl","nh4n_mgl","site"
1988-01-05,0.806666666666667,2.19266666666667,3.42,155.066666666667,27.5333333333333,"BQ1"
1988-03-08,0.89,1.976875,3.084375,207.8125,22.125,"BQ1"
1988-05-10,0.881111111111111,2.183,2.985,157.5,90.625,"BQ1"
1988-07-12,0.760769230769231,1.95230769230769,2.68692307692308,63,15.5,"BQ1"
1988-09-13,0.7925,2.43875,3.665,140.555555555556,50.25,"BQ1"
1988-11-15,0.844444444444444,2.37222222222222,4.15125,153.625,NA,"BQ1"
1989-01-17,0.908888888888889,2.78333333333333,4.29333333333333,130.111111111111,NA,"BQ1"
1989-03-21,0.854444444444444,2.73888888888889,4.44444444444444,141.888888888889,NA,"BQ1"
1989-05-23,0.947777777777778,2.90111111111111,4.53444444444444,123,NA,"BQ1"
1989-07-25,0.934444444444444,2.64666666666667,4.04222222222222,88.375,NA,"BQ1"
1989-09-26,1.32083333333333,3.01545454545455,4.22909090909091,415.714285714286,NA,"BQ1"
1989-11-28,1.14666666666667,3.22666666666667,5.85666666666667,99,NA,"BQ1"
1990-01-30,1.23444444444444,3.16666666666667,5.54666666666667,211.375,NA,"BQ1"
1990-04-03,1.36285714285714,2.54928571428571,4.31285714285714,450.307692307692,NA,"BQ1"
1990-06-05,1.15555555555556,3.23333333333333,5.49444444444444,143.777777777778,NA,"BQ1"
1990-08-07,0.884444444444444,3.26888888888889,5.84111111111111,80.8333333333333,NA,"BQ1"
1990-10-09,1.007,2.832,4.603,108.5,NA,"BQ1"
1990-12-11,0.983,2.988,5.297,155.375,NA,"BQ1"
1991-02-12,0.821,3.145,5.656,65.9,NA,"BQ1"
1991-04-16,0.925555555555556,2.94777777777778,5.16777777777778,46.375,NA,"BQ1"
1991-06-18,0.764444444444444,3.37777777777778,5.62222222222222,32.4285714285714,NA,"BQ1"
1991-08-20,1.165,3.614,5.84,63.5,NA,"BQ1"
1991-10-22,1.14076923076923,2.71615384615385,4.27461538461538,121.692307692308,NA,"BQ1"
1991-12-24,1.24,2.99555555555556,4.97111111111111,187.125,NA,"BQ1"
1992-02-25,1.11111111111111,3.57888888888889,6.30888888888889,79.75,NA,"BQ1"
1992-04-28,1.03111111111111,2.59,4.30333333333333,57.125,NA,"BQ1"
1992-06-30,1.14666666666667,3.24555555555556,5.60666666666667,140.625,NA,"BQ1"
1992-09-01,1.06555555555556,3.51777777777778,6.2,67.7142857142857,NA,"BQ1"
1992-11-03,0.962222222222222,2.49555555555556,4.54333333333333,33,NA,"BQ1"
1993-01-05,1.13444444444444,3.18111111111111,4.97555555555556,20,NA,"BQ1"
1993-03-09,1.17444444444444,3.67111111111111,5.79555555555556,137.111111111111,NA,"BQ1"
1993-05-11,1.15777777777778,3.22222222222222,5.61111111111111,28.3333333333333,NA,"BQ1"
1993-07-13,1.00333333333333,3.01333333333333,5.46777777777778,44.6,NA,"BQ1"
1993-09-14,1.12111111111111,3.32666666666667,5.92111111111111,28.3333333333333,NA,"BQ1"
1993-11-16,1.18,3.16888888888889,5.68888888888889,22.1666666666667,NA,"BQ1"
1994-01-18,1.00555555555556,2.95111111111111,5.30222222222222,13.5,NA,"BQ1"
1994-03-22,1.05111111111111,3.34777777777778,6.14,65.6666666666667,NA,"BQ1"
1994-05-24,1.21,3.85,6.785,51.2222222222222,NA,"BQ1"
1994-07-26,1.23777777777778,3.39888888888889,6.01555555555556,NA,NA,"BQ1"
1994-09-27,1.12,3.18333333333333,5.92111111111111,NA,NA,"BQ1"
1994-11-29,1.008,3.036,5.688,109,NA,"BQ1"
1988-01-05,0.867222222222222,2.11,4.41555555555556,239.1875,18.5,"BQ2"
1988-03-08,0.783333333333333,2.31666666666667,4.24333333333333,192.333333333333,27.1428571428571,"BQ2"
1988-05-10,0.797,2.119,3.587,239.333333333333,74.4285714285714,"BQ2"
1988-07-12,0.784666666666667,2.02866666666667,3.446,178.333333333333,14,"BQ2"
1988-09-13,0.77,2.37,4.55,205,47,"BQ2"
1988-11-15,0.872222222222222,2.36333333333333,4.16111111111111,220.666666666667,NA,"BQ2"
1989-01-17,0.901111111111111,2.52,4.59222222222222,232.8,NA,"BQ2"
1989-03-21,0.876666666666667,2.87666666666667,4.46777777777778,190.555555555556,NA,"BQ2"
1989-05-23,0.952222222222222,2.51666666666667,4.61555555555556,166.666666666667,NA,"BQ2"
1989-07-25,1.01,2.54111111111111,4.90555555555556,143.25,NA,"BQ2"
1989-09-26,1.45333333333333,2.97,5.46545454545455,419.111111111111,NA,"BQ2"
1989-11-28,1.20666666666667,3.12333333333333,6.61333333333333,239.25,NA,"BQ2"
1990-01-30,1.33888888888889,3.05222222222222,6.53,188,NA,"BQ2"
1990-04-03,1.36357142857143,2.49071428571429,5.19714285714286,466.769230769231,NA,"BQ2"
1990-06-05,1.13111111111111,3.20888888888889,6.77666666666667,232.777777777778,NA,"BQ2"
1990-08-07,0.925555555555556,3.22444444444444,7.18777777777778,121.111111111111,NA,"BQ2"
1990-10-09,0.901,2.712,5.773,164.7,NA,"BQ2"
1990-12-11,0.998,3.08,6.782,182.111111111111,NA,"BQ2"
1991-02-12,0.843,2.938,6.742,138.111111111111,NA,"BQ2"
1991-04-16,1.01,2.83777777777778,3.79666666666667,35.75,NA,"BQ2"
1991-06-18,0.995555555555556,3.20111111111111,5.31666666666667,81,NA,"BQ2"
1991-08-20,1.42,2.986,6.027,88.2,NA,"BQ2"
1991-10-22,1.27307692307692,2.71153846153846,4.76076923076923,226.692307692308,NA,"BQ2"
1991-12-24,1.30333333333333,2.92444444444444,5.82888888888889,283.888888888889,NA,"BQ2"
1992-02-25,1.12222222222222,3.12111111111111,5.85222222222222,88.125,NA,"BQ2"
1992-04-28,1.24666666666667,2.48222222222222,5.24,124.875,NA,"BQ2"
1992-06-30,1.23,3.26,6.88,108.222222222222,NA,"BQ2"
